,feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
149,V176,137,231,195,163,180,181.2
150,V177,72,225,173,148,191,161.8
151,V178,157,262,234,208,257,223.6
152,V180,36,56,51,42,71,51.2
153,V182,33,48,32,34,36,36.6
154,V184,69,58,42,84,57,62.0
155,V187,343,483,442,450,643,472.2
156,V188,74,149,112,75,108,103.6
157,V189,120,129,160,193,146,149.6
158,V195,25,34,28,25,11,24.6
159,V197,12,31,142,39,33,51.4
160,V200,145,200,155,245,166,182.2
161,V201,392,613,377,401,258,408.2
162,V202,362,729,457,602,506,531.2
163,V203,555,1072,608,702,725,732.4
164,V204,375,742,554,563,533,553.4
165,V205,106,109,93,106,111,105.0
166,V206,82,130,94,94,109,101.8
167,V207,198,300,193,275,259,245.0
168,V208,257,355,422,244,382,332.0
169,V209,292,405,273,265,254,297.8
170,V210,240,493,359,280,277,329.8
171,V212,306,460,468,332,419,397.0
172,V213,215,474,336,371,336,346.4
173,V214,115,148,132,206,149,150.0
174,V215,132,178,175,180,175,168.0
175,V216,111,142,121,166,139,135.8
176,V217,190,300,265,226,267,249.6
177,V219,262,409,370,268,273,316.4
178,V220,52,99,57,81,37,65.2
179,V221,375,683,518,638,566,556.0
180,V222,376,559,401,504,507,469.4
181,V223,17,21,25,29,37,25.8
182,V224,130,193,174,227,208,186.4
183,V225,23,83,77,54,78,63.0
184,V226,140,92,167,134,118,130.2
185,V227,71,50,33,33,48,47.0
186,V228,197,208,225,188,282,220.0
187,V229,283,409,324,319,327,332.4
188,V231,146,229,154,167,218,182.8
189,V233,150,299,185,242,173,209.8
190,V234,117,153,118,192,155,147.0
191,V238,63,51,41,56,68,55.8
192,V239,68,97,81,67,77,78.0
193,V242,163,148,155,131,129,145.2
194,V243,104,217,225,150,284,196.0
195,V244,96,255,129,97,95,134.4
196,V245,191,339,200,224,168,224.4
197,V246,111,165,120,130,120,129.2
198,V247,34,45,41,21,12,30.6
199,V249,37,38,28,29,13,29.0
200,V251,107,114,96,108,84,101.8
201,V253,102,112,96,136,158,120.8
202,V256,81,75,110,158,94,103.6
203,V257,312,477,346,348,364,369.4
204,V258,485,590,592,565,614,569.2
205,V259,190,373,291,329,360,308.6
206,V261,167,322,303,250,346,277.6
207,V262,143,304,182,194,284,221.4
208,V263,510,995,720,761,743,745.8
209,V264,931,1743,1284,1191,1314,1292.6
210,V265,615,1108,871,823,873,858.0
211,V266,78,298,256,173,235,208.0
212,V267,287,456,361,329,481,382.8
213,V268,144,242,273,238,280,235.4
214,V270,170,205,167,160,138,168.0
215,V271,213,269,266,195,342,257.0
216,V272,140,194,143,177,153,161.4
217,V273,313,498,363,414,480,413.6
218,V274,579,802,782,717,794,734.8
219,V275,301,520,376,490,423,422.0
220,V276,154,249,212,182,211,201.6
221,V277,357,454,424,486,446,433.4
222,V278,150,283,221,185,231,214.0
223,V279,310,602,376,505,404,439.4
224,V280,497,731,553,658,627,613.2
225,V282,869,983,739,815,892,859.6
226,V283,1035,1471,1128,1195,1292,1224.2
227,V285,1054,1485,1142,1386,1298,1273.0
228,V287,171,258,163,248,187,205.4
229,V288,107,103,94,81,215,120.0
230,V289,165,300,194,209,197,213.0
