,feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
144,V170,594,346,299,328,162,345.8
145,V171,499,374,290,310,171,328.8
146,V172,46,62,66,68,58,60.0
147,V173,46,34,56,53,54,48.6
148,V175,123,148,71,93,77,102.4
149,V176,266,204,102,126,74,154.4
150,V177,138,92,55,81,73,87.8
151,V178,310,198,126,148,132,182.8
152,V180,277,141,126,179,83,161.2
153,V182,217,171,137,146,80,150.2
154,V184,227,144,164,132,84,150.2
155,V187,866,552,349,337,401,501.0
156,V188,323,229,151,219,101,204.6
157,V189,364,254,261,316,231,285.2
158,V195,66,59,41,48,20,46.8
159,V197,127,256,135,134,60,142.4
160,V200,362,224,125,204,170,217.0
161,V201,368,353,214,251,163,269.8
162,V202,781,428,270,297,222,399.6
163,V203,1342,862,540,688,418,770.0
164,V204,849,531,306,352,245,456.6
165,V205,463,258,167,301,197,277.2
166,V206,533,214,198,267,165,275.4
167,V207,821,539,317,428,282,477.4
168,V208,1175,738,547,518,366,668.8
169,V209,921,635,404,485,358,560.6
170,V210,871,519,393,432,315,506.0
171,V212,787,487,307,316,220,423.4
172,V213,506,367,203,241,165,296.4
173,V214,438,309,222,219,188,275.2
174,V215,890,611,365,445,262,514.6
175,V216,521,392,271,261,163,321.6
176,V217,342,238,181,190,153,220.8
177,V219,452,291,201,212,186,268.4
178,V220,505,375,332,307,146,333.0
179,V221,1557,844,580,583,436,800.0
180,V222,1204,666,380,434,309,598.6
181,V223,142,119,153,93,133,128.0
182,V224,385,305,198,287,201,275.2
183,V225,225,189,136,158,104,162.4
184,V226,331,106,168,196,153,190.8
185,V227,178,138,60,88,108,114.4
186,V228,377,245,128,153,126,205.8
187,V229,797,437,294,357,287,434.4
188,V231,243,129,101,142,85,140.0
189,V233,394,227,126,192,118,211.4
190,V234,641,375,297,291,207,362.2
191,V238,226,159,100,94,89,133.6
192,V239,223,183,126,135,100,153.4
193,V242,191,162,90,84,64,118.2
