,feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
141,V166,174,545,631,316,233,379.8
142,V167,99,193,197,97,72,131.6
143,V169,259,363,384,231,166,280.6
144,V170,347,603,642,337,160,417.8
145,V171,242,624,617,315,174,394.4
146,V172,71,130,133,112,119,113.0
147,V173,54,90,143,75,66,85.6
148,V175,84,217,153,116,98,133.6
149,V176,150,289,285,118,74,183.2
150,V177,97,166,220,105,78,133.2
151,V178,197,350,388,168,136,247.8
152,V180,188,283,326,216,104,223.4
153,V182,153,264,317,149,82,193.0
154,V184,178,252,341,155,84,202.0
155,V187,414,785,694,302,321,503.2
156,V188,185,393,462,179,66,257.0
157,V189,215,455,634,343,266,382.6
158,V195,77,134,154,76,38,95.8
159,V197,116,313,233,119,24,161.0
160,V200,204,456,406,183,104,270.6
161,V201,308,574,505,315,163,373.0
162,V202,319,690,813,275,184,456.2
163,V203,427,1184,1319,513,281,744.8
164,V204,323,784,896,257,183,488.6
165,V205,240,439,482,351,228,348.0
166,V206,278,472,703,318,221,398.4
167,V207,459,802,771,447,279,551.6
168,V208,508,1068,1141,488,262,693.4
169,V209,478,883,883,453,273,594.0
170,V210,424,775,829,465,266,551.8
171,V212,286,745,822,255,168,455.2
172,V213,220,511,590,200,100,324.2
173,V214,226,639,812,265,176,423.6
174,V215,352,942,974,405,209,576.4
175,V216,197,588,671,232,113,360.2
176,V217,204,351,444,172,184,271.0
177,V219,235,414,512,193,130,296.8
178,V220,276,515,583,285,113,354.4
179,V221,620,1407,1783,569,388,953.4
180,V222,330,1134,1198,315,216,638.6
181,V223,140,143,275,182,136,175.2
182,V224,209,551,576,317,271,384.8
183,V225,141,273,327,198,112,210.2
184,V226,120,174,314,171,133,182.4
185,V227,134,188,191,82,99,138.8
186,V228,203,367,414,145,117,249.2
187,V229,289,821,1013,230,212,513.0
188,V231,159,281,314,141,114,201.8
189,V233,183,380,411,157,111,248.4
190,V234,322,833,1035,367,232,557.8
191,V238,110,316,300,99,61,177.2
192,V239,118,293,328,92,84,183.0
193,V242,130,318,388,79,42,191.4
194,V243,257,496,671,134,164,344.4
195,V244,145,355,413,119,103,227.0
196,V245,274,824,935,293,202,505.6
197,V246,179,329,358,126,64,211.2
198,V247,66,141,160,53,42,92.4
199,V249,91,209,219,68,42,125.8
200,V251,250,682,798,218,184,426.4
201,V253,156,300,391,199,112,231.6
202,V256,258,417,474,250,137,307.2
203,V257,375,683,647,277,228,442.0
204,V258,663,921,984,550,524,728.4
205,V259,236,793,1011,274,145,491.8
206,V261,603,1380,1522,518,418,888.2
207,V262,325,943,1008,314,219,561.8
208,V263,385,911,1076,361,215,589.6
209,V264,737,2026,2359,694,442,1251.6
210,V265,409,1052,1293,440,279,694.6
211,V266,362,791,956,344,362,563.0
212,V267,653,1228,1381,560,387,841.8
213,V268,350,846,1058,351,214,563.8
214,V270,424,855,924,425,238,573.2
215,V271,420,831,1028,476,347,620.4
216,V272,349,560,697,408,197,442.2
217,V273,223,601,718,237,119,379.6
218,V274,556,1139,1449,471,292,781.4
219,V275,211,655,752,237,122,395.4
220,V276,279,932,962,290,213,535.2
221,V277,447,1306,1520,483,285,808.2
222,V278,312,958,1030,380,202,576.4
223,V279,415,810,798,426,296,549.0
224,V280,533,926,1006,487,361,662.6
225,V282,1568,3170,3497,1387,1312,2186.8
226,V283,1952,3505,3708,1650,1405,2444.0
227,V285,1546,2568,2745,1547,1195,1920.2
228,V287,268,538,570,259,224,371.8
229,V288,455,862,786,341,329,554.6
230,V289,496,1042,1203,523,421,737.0
231,V291,1028,2028,2218,985,644,1380.6
232,V292,469,929,946,410,284,607.6
233,V294,1021,2017,2219,1222,834,1462.6
234,V303,107,350,397,114,71,207.8
235,V304,88,158,232,79,51,121.6
236,V306,1147,2657,2828,1073,864,1713.8
237,V307,3158,6672,7147,3176,2474,4525.4
238,V308,1537,3591,3902,1554,1186,2354.0
239,V310,3145,6424,6678,3171,2408,4365.2
240,V312,1682,3651,4005,1753,1290,2476.2
241,V313,3797,7629,8597,3400,2661,5216.8
242,V314,2722,5512,6214,2418,1859,3745.0
243,V315,3143,6189,6624,2674,2087,4143.4
244,V317,1789,3800,4406,1739,1208,2588.4
245,V322,121,137,131,100,74,112.6
246,V323,263,399,518,375,260,363.0
247,V324,159,269,284,179,188,215.8
248,V326,130,237,322,173,127,197.8
249,V329,92,172,249,82,61,131.2
250,V331,136,280,268,166,148,199.6
251,V332,273,470,576,318,266,380.6
252,V333,164,310,348,201,171,238.8
253,V335,229,300,460,235,202,285.2
254,V336,162,121,258,174,112,165.4
255,V338,218,356,478,225,158,287.0
256,id_01,1581,4241,4910,1693,1161,2717.2
257,id_02,2328,5771,7986,2525,1777,4077.4
258,id_03,700,1449,1746,637,517,1009.8
259,id_05,2313,5957,7646,2606,1626,4029.6
260,id_06,2646,7291,8489,2574,1947,4589.4
261,id_09,580,1290,1665,569,590,938.8
262,id_11,303,660,850,391,274,495.6
263,id_12,25,61,61,30,23,40.0
264,id_13,2870,6632,7662,3058,1639,4372.2
265,id_14,1195,2645,2736,1286,923,1757.0
266,id_15,211,473,604,220,174,336.4
267,id_17,554,937,1216,628,436,754.2
268,id_19,4291,11067,12580,4182,2820,6988.0
269,id_20,5258,12567,14936,5559,3410,8346.0
270,id_30,1218,2411,2811,1346,975,1752.2
271,id_31,3321,7889,8744,3163,2034,5030.2
272,id_32,223,457,636,356,319,398.2
273,id_33,1070,2405,2926,1569,839,1761.8
274,id_36,71,102,79,53,60,73.0
275,id_37,253,442,687,273,186,368.2
276,id_38,537,1349,2050,837,654,1085.4
277,DeviceType,328,699,758,367,281,486.6
278,DeviceInfo,2312,5156,6213,2241,1507,3485.8
279,device_name,1236,2848,3579,1259,953,1975.0
280,device_version,2035,4150,5150,1766,1284,2877.0
281,OS_id_30,190,432,531,249,218,324.0
282,version_id_30,993,1991,2518,1107,706,1463.0
283,browser_id_31,519,1206,1481,562,372,828.0
284,version_id_31,2745,6500,7146,2842,2045,4255.6
285,screen_width,527,1204,1518,784,509,908.4
286,screen_height,1243,2275,3194,1600,1073,1877.0
287,had_id,1,2,4,2,1,2.0
288,TransactionAmt_to_mean_card1,14608,34611,39982,13169,9191,22312.2
289,TransactionAmt_to_std_card1,16362,39027,45682,15724,10826,25524.2
290,TransactionAmt_to_mean_card4,10072,24033,26603,9796,6973,15495.4
291,TransactionAmt_to_std_card4,10737,24073,27805,10310,6833,15951.6
292,TransactionAmt_to_mean_addr1,12719,28959,33940,12249,9010,19375.4
293,TransactionAmt_to_std_addr1,12491,27860,31507,11598,8780,18447.2
294,id_02_to_mean_card1,2708,7262,9636,2919,1979,4900.8
295,id_02_to_std_card1,2885,8043,10028,3271,2094,5264.2
296,id_02_to_mean_card4,2581,6492,7799,2832,1911,4323.0
297,id_02_to_std_card4,2011,5479,6601,2263,1665,3603.8
298,id_02_to_mean_addr1,849,2579,3623,1326,932,1861.8
299,id_02_to_std_addr1,963,2625,3590,1505,966,1929.8
300,D15_to_mean_card1,8779,15682,17736,8008,6013,11243.6
301,D15_to_std_card1,7144,13448,15629,6666,5260,9629.4
302,D15_to_mean_card4,5943,11754,12939,5694,4649,8195.8
303,D15_to_std_card4,4782,8561,9189,4502,3339,6074.6
304,D15_to_mean_addr1,6384,11775,13549,6239,4827,8554.8
305,D15_to_std_addr1,5091,9660,11229,5015,3964,6991.8
306,TransactionAmt_Log,5670,14133,16061,5259,4126,9049.8
307,TransactionAmt_decimal,6950,16926,20101,6222,4471,10934.0
308,Transaction_day_of_week,5926,16626,18181,5663,3517,9982.6
309,Transaction_hour,8659,21309,25706,8200,5506,13876.0
310,id_02__id_20,1984,6121,7965,2212,1322,3920.8
311,id_02__D8,1242,3662,4414,1317,844,2295.8
312,D11__DeviceInfo,3864,8670,9818,3481,2401,5646.8
313,DeviceInfo__P_emaildomain,6029,13664,15895,5893,4274,9151.0
314,P_emaildomain__C2,10867,21988,24130,10431,8156,15114.4
315,card2__dist1,13658,27452,31100,12909,10180,19059.8
316,card1__card5,20906,41469,45696,19412,14651,28426.8
317,card2__id_20,8953,20575,23724,8769,6452,13694.6
318,card5__P_emaildomain,12561,25346,28478,11501,8601,17297.4
319,addr1__card1,22537,46280,51596,21327,16372,31622.4
320,card1_count_full,22011,44780,50672,21106,16229,30959.6
321,card2_count_full,15921,32032,36243,15132,11833,22232.2
322,card3_count_full,1423,1912,2011,1239,1166,1550.2
323,card4_count_full,1239,2288,2276,1205,1031,1607.8
324,card5_count_full,4846,10028,11403,4538,3502,6863.4
325,card6_count_full,998,1818,1921,970,869,1315.2
326,id_36_count_full,95,229,164,101,69,131.6
327,id_01_count_dist,1368,3405,3920,1498,924,2223.0
328,id_31_count_dist,3428,8230,10175,3563,2318,5542.8
329,id_33_count_dist,1107,2780,3245,1688,1110,1986.0
330,id_36_count_dist,86,165,86,69,56,92.4
331,P_emaildomain_bin,4766,9721,10686,4274,3249,6539.2
332,P_emaildomain_suffix,1417,2651,2793,1334,1022,1843.4
333,R_emaildomain_bin,1806,3425,4052,1876,1426,2517.0
334,R_emaildomain_suffix,328,733,847,369,312,517.8
