,feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
145,V171,567,345,281,287,191,334.2
146,V172,55,52,74,69,59,61.8
147,V173,57,34,62,58,50,52.2
148,V175,127,108,58,95,77,93.0
149,V176,261,176,67,94,67,133.0
150,V177,128,72,64,90,66,84.0
151,V178,306,147,133,157,110,170.6
152,V180,300,113,131,159,93,159.2
153,V182,261,141,140,140,86,153.6
154,V184,228,119,120,145,75,137.4
155,V187,899,475,321,310,416,484.2
156,V188,289,198,166,199,108,192.0
157,V189,363,235,247,298,241,276.8
158,V195,52,59,28,52,19,42.0
159,V197,138,235,113,126,58,134.0
160,V200,379,186,144,181,147,207.4
161,V201,400,292,199,228,179,259.6
162,V202,798,317,248,277,225,373.0
163,V203,1369,774,472,603,397,723.0
164,V204,883,427,288,336,253,437.4
165,V205,486,247,181,266,195,275.0
166,V206,528,170,194,265,175,266.4
167,V207,888,456,284,406,314,469.6
168,V208,1204,601,468,443,373,617.8
169,V209,984,531,390,448,353,541.2
170,V210,912,464,333,407,279,479.0
171,V212,800,416,297,288,214,403.0
172,V213,594,270,210,247,167,297.6
173,V214,405,260,186,211,125,237.4
174,V215,857,478,322,427,238,464.4
175,V216,532,273,237,262,184,297.6
176,V217,363,220,199,191,184,231.4
177,V219,513,227,177,217,175,261.8
178,V220,536,310,326,284,147,320.6
179,V221,1586,656,514,543,443,748.4
180,V222,1193,490,362,364,288,539.4
181,V223,174,96,132,85,129,123.2
182,V224,419,231,179,235,181,249.0
183,V225,237,177,121,141,113,157.8
184,V226,324,108,147,179,164,184.4
185,V227,169,121,58,90,92,106.0
186,V228,391,195,123,138,105,190.4
187,V229,856,345,255,311,285,410.4
188,V231,283,123,99,132,86,144.6
189,V233,421,163,123,170,138,203.0
190,V234,716,304,286,253,221,356.0
191,V238,228,118,108,84,89,125.4
192,V239,244,140,119,108,82,138.6
193,V242,186,102,85,100,63,107.2
194,V243,462,237,257,182,182,264.0
195,V244,326,128,133,115,110,162.4
196,V245,724,345,265,309,238,376.2
197,V246,310,133,91,88,68,138.0
198,V247,87,53,42,28,40,50.0
199,V249,156,93,80,60,33,84.4
200,V251,565,303,212,229,282,318.2
201,V253,275,117,131,144,101,153.6
202,V256,466,217,228,294,222,285.4
203,V257,848,354,206,262,203,374.6
204,V258,774,438,414,434,444,500.8
205,V259,844,398,310,311,224,417.4
206,V261,1459,646,460,512,529,721.2
207,V262,843,327,258,276,251,391.0
208,V263,1207,410,282,363,287,509.8
209,V264,2586,986,703,840,636,1150.2
210,V265,1466,547,401,487,359,652.0
211,V266,823,424,403,346,451,489.4
212,V267,1607,752,542,578,467,789.2
213,V268,926,469,436,375,276,496.4
214,V270,896,436,317,412,313,474.8
215,V271,929,571,434,488,434,571.2
216,V272,749,339,279,365,270,400.4
217,V273,735,256,189,257,205,328.4
218,V274,1447,609,487,625,441,721.8
219,V275,834,305,221,325,250,387.0
220,V276,758,333,256,309,244,380.0
221,V277,1591,642,411,537,396,715.4
222,V278,1071,500,293,449,292,521.0
223,V279,677,486,378,421,341,460.6
224,V280,939,475,322,478,367,516.2
225,V282,2929,1439,1171,1168,1198,1581.0
226,V283,3370,1591,1224,1366,1317,1773.6
227,V285,2140,1292,1083,1171,1086,1354.4
228,V287,395,220,168,207,169,231.8
229,V288,636,297,193,210,284,324.0
230,V289,669,395,347,317,302,406.0
231,V291,1810,914,741,844,586,979.0
232,V292,792,381,286,304,231,398.8
233,V294,1433,894,692,964,695,935.6
234,V303,255,87,74,91,62,113.8
235,V304,154,56,27,59,35,66.2
236,V306,2585,1069,667,860,706,1177.4
237,V307,7127,3393,2545,3135,2544,3748.8
238,V308,3544,1521,1141,1488,1231,1785.0
239,V310,6726,3478,2556,3079,2601,3688.0
240,V312,3810,1748,1245,1680,1322,1961.0
241,V313,8339,3460,2722,3365,2816,4140.4
242,V314,5778,2528,1954,2125,1876,2852.2
243,V315,6315,2866,2144,2550,2088,3192.6
244,V317,3851,1622,1207,1521,1187,1877.6
245,V322,76,71,48,52,55,60.4
246,V323,358,200,220,266,198,248.4
247,V324,196,88,117,120,106,125.4
248,V326,189,136,141,135,91,138.4
249,V329,168,73,73,68,62,88.8
250,V331,220,142,108,118,124,142.4
251,V332,529,329,275,308,219,332.0
252,V333,261,194,143,177,142,183.4
253,V335,371,223,213,214,162,236.6
254,V336,198,87,120,111,87,120.6
255,V338,337,215,195,195,111,210.6
256,id_01,4274,2022,1461,1826,1468,2210.2
257,id_02,7605,2716,2048,2425,1765,3311.8
258,id_03,1403,540,568,520,497,705.6
259,id_05,6306,2770,2293,2437,1945,3150.2
260,id_06,7816,3189,2555,2765,2210,3707.0
261,id_09,858,596,485,560,533,606.4
262,id_11,677,364,253,346,209,369.8
263,id_12,78,27,23,20,17,33.0
264,id_13,8641,3739,2717,3421,2198,4143.2
265,id_14,2282,1263,989,1102,904,1308.0
266,id_15,524,187,201,196,183,258.2
267,id_17,964,450,529,528,450,584.2
268,id_19,13389,5828,4208,4693,3546,6332.8
269,id_20,15579,7145,5318,6251,4717,7802.0
270,id_30,2683,1430,1193,1417,1167,1578.0
271,id_31,9532,4091,2938,3507,2419,4497.4
272,id_32,408,228,272,308,248,292.8
273,id_33,2676,1352,1090,1532,1059,1541.8
274,id_36,35,20,14,28,28,25.0
275,id_37,438,207,187,185,175,238.4
276,id_38,993,629,893,889,726,826.0
277,DeviceType,886,472,340,495,381,514.8
278,DeviceInfo,6405,2505,1880,2301,1622,2942.6
279,device_name,3194,1353,1080,1248,1006,1576.2
280,device_version,5242,2239,1629,1707,1419,2447.2
281,OS_id_30,365,219,210,243,221,251.6
282,version_id_30,2393,1144,921,1153,798,1281.8
283,browser_id_31,1402,616,428,565,498,701.8
284,version_id_31,7218,3474,2580,2926,2275,3694.6
285,screen_width,1512,713,607,768,615,843.0
286,screen_height,2772,1502,1275,1595,1145,1657.8
287,had_id,0,0,0,0,3,0.6
288,TransactionAmt_to_mean_card1,43280,14920,9933,13224,9590,18189.4
289,TransactionAmt_to_std_card1,50707,17898,12433,16394,11657,21817.8
290,TransactionAmt_to_mean_card4,28574,10873,7879,9974,7425,12945.0
291,TransactionAmt_to_std_card4,30040,11141,7608,10501,7260,13310.0
